date,sku,closing_qty
2026-06-09,SKU001,77
2026-06-09,SKU002,74
2026-06-09,SKU003,63
2026-06-09,SKU004,70
2026-06-09,SKU005,73
2026-06-09,SKU006,73
2026-06-09,SKU007,78
2026-06-09,SKU008,80
2026-06-09,SKU009,80
2026-06-09,SKU010,80
2026-06-09,SKU011,71
2026-06-09,SKU012,79
2026-06-09,SKU013,80
2026-06-09,SKU014,79
2026-06-09,SKU015,80
2026-06-09,SKU016,74
2026-06-09,SKU017,78
2026-06-09,SKU018,79
2026-06-09,SKU019,68
2026-06-09,SKU020,80
2026-06-09,SKU021,80
2026-06-09,SKU022,79
2026-06-09,SKU023,76
2026-06-09,SKU024,77
2026-06-09,SKU025,75
2026-06-09,SKU026,78
2026-06-09,SKU027,70
2026-06-09,SKU028,77
2026-06-09,SKU029,240
2026-06-09,SKU030,240
2026-06-10,SKU001,66
2026-06-10,SKU002,70
2026-06-10,SKU003,53
2026-06-10,SKU004,61
2026-06-10,SKU005,70
2026-06-10,SKU006,65
2026-06-10,SKU007,78
2026-06-10,SKU008,79
2026-06-10,SKU009,77
2026-06-10,SKU010,80
2026-06-10,SKU011,66
2026-06-10,SKU012,74
2026-06-10,SKU013,76
2026-06-10,SKU014,74
2026-06-10,SKU015,73
2026-06-10,SKU016,70
2026-06-10,SKU017,73
2026-06-10,SKU018,76
2026-06-10,SKU019,59
2026-06-10,SKU020,75
2026-06-10,SKU021,79
2026-06-10,SKU022,73
2026-06-10,SKU023,74
2026-06-10,SKU024,67
2026-06-10,SKU025,68
2026-06-10,SKU026,78
2026-06-10,SKU027,68
2026-06-10,SKU028,69
2026-06-10,SKU029,240
2026-06-10,SKU030,240
2026-06-11,SKU001,58
2026-06-11,SKU002,61
2026-06-11,SKU003,41
2026-06-11,SKU004,48
2026-06-11,SKU005,61
2026-06-11,SKU006,62
2026-06-11,SKU007,71
2026-06-11,SKU008,76
2026-06-11,SKU009,70
2026-06-11,SKU010,80
2026-06-11,SKU011,60
2026-06-11,SKU012,70
2026-06-11,SKU013,74
2026-06-11,SKU014,71
2026-06-11,SKU015,73
2026-06-11,SKU016,62
2026-06-11,SKU017,72
2026-06-11,SKU018,75
2026-06-11,SKU019,48
2026-06-11,SKU020,70
2026-06-11,SKU021,67
2026-06-11,SKU022,59
2026-06-11,SKU023,68
2026-06-11,SKU024,65
2026-06-11,SKU025,55
2026-06-11,SKU026,73
2026-06-11,SKU027,61
2026-06-11,SKU028,61
2026-06-11,SKU029,240
2026-06-11,SKU030,240
2026-06-12,SKU001,43
2026-06-12,SKU002,55
2026-06-12,SKU003,31
2026-06-12,SKU004,43
2026-06-12,SKU005,51
2026-06-12,SKU006,51
2026-06-12,SKU007,71
2026-06-12,SKU008,69
2026-06-12,SKU009,70
2026-06-12,SKU010,80
2026-06-12,SKU011,54
2026-06-12,SKU012,69
2026-06-12,SKU013,74
2026-06-12,SKU014,71
2026-06-12,SKU015,73
2026-06-12,SKU016,44
2026-06-12,SKU017,64
2026-06-12,SKU018,75
2026-06-12,SKU019,48
2026-06-12,SKU020,68
2026-06-12,SKU021,60
2026-06-12,SKU022,47
2026-06-12,SKU023,68
2026-06-12,SKU024,64
2026-06-12,SKU025,55
2026-06-12,SKU026,66
2026-06-12,SKU027,56
2026-06-12,SKU028,59
2026-06-12,SKU029,240
2026-06-12,SKU030,240
2026-06-13,SKU001,33
2026-06-13,SKU002,52
2026-06-13,SKU003,21
2026-06-13,SKU004,22
2026-06-13,SKU005,28
2026-06-13,SKU006,38
2026-06-13,SKU007,69
2026-06-13,SKU008,60
2026-06-13,SKU009,68
2026-06-13,SKU010,80
2026-06-13,SKU011,50
2026-06-13,SKU012,64
2026-06-13,SKU013,72
2026-06-13,SKU014,70
2026-06-13,SKU015,69
2026-06-13,SKU016,39
2026-06-13,SKU017,57
2026-06-13,SKU018,67
2026-06-13,SKU019,48
2026-06-13,SKU020,53
2026-06-13,SKU021,60
2026-06-13,SKU022,45
2026-06-13,SKU023,59
2026-06-13,SKU024,54
2026-06-13,SKU025,45
2026-06-13,SKU026,57
2026-06-13,SKU027,47
2026-06-13,SKU028,48
2026-06-13,SKU029,240
2026-06-13,SKU030,240
2026-06-14,SKU001,24
2026-06-14,SKU002,38
2026-06-14,SKU003,0
2026-06-14,SKU004,15
2026-06-14,SKU005,15
2026-06-14,SKU006,28
2026-06-14,SKU007,65
2026-06-14,SKU008,55
2026-06-14,SKU009,58
2026-06-14,SKU010,80
2026-06-14,SKU011,47
2026-06-14,SKU012,57
2026-06-14,SKU013,70
2026-06-14,SKU014,70
2026-06-14,SKU015,67
2026-06-14,SKU016,39
2026-06-14,SKU017,48
2026-06-14,SKU018,67
2026-06-14,SKU019,47
2026-06-14,SKU020,53
2026-06-14,SKU021,46
2026-06-14,SKU022,45
2026-06-14,SKU023,55
2026-06-14,SKU024,54
2026-06-14,SKU025,43
2026-06-14,SKU026,57
2026-06-14,SKU027,46
2026-06-14,SKU028,48
2026-06-14,SKU029,240
2026-06-14,SKU030,240
2026-06-15,SKU001,8
2026-06-15,SKU002,21
2026-06-15,SKU003,0
2026-06-15,SKU004,4
2026-06-15,SKU005,10
2026-06-15,SKU006,18
2026-06-15,SKU007,56
2026-06-15,SKU008,49
2026-06-15,SKU009,48
2026-06-15,SKU010,80
2026-06-15,SKU011,37
2026-06-15,SKU012,54
2026-06-15,SKU013,66
2026-06-15,SKU014,56
2026-06-15,SKU015,66
2026-06-15,SKU016,32
2026-06-15,SKU017,45
2026-06-15,SKU018,56
2026-06-15,SKU019,47
2026-06-15,SKU020,43
2026-06-15,SKU021,42
2026-06-15,SKU022,43
2026-06-15,SKU023,49
2026-06-15,SKU024,54
2026-06-15,SKU025,34
2026-06-15,SKU026,57
2026-06-15,SKU027,44
2026-06-15,SKU028,42
2026-06-15,SKU029,240
2026-06-15,SKU030,240
2026-06-16,SKU001,81
2026-06-16,SKU002,96
2026-06-16,SKU003,49
2026-06-16,SKU004,57
2026-06-16,SKU005,104
2026-06-16,SKU006,78
2026-06-16,SKU007,151
2026-06-16,SKU008,136
2026-06-16,SKU009,115
2026-06-16,SKU010,166
2026-06-16,SKU011,114
2026-06-16,SKU012,113
2026-06-16,SKU013,134
2026-06-16,SKU014,134
2026-06-16,SKU015,130
2026-06-16,SKU016,104
2026-06-16,SKU017,136
2026-06-16,SKU018,130
2026-06-16,SKU019,146
2026-06-16,SKU020,99
2026-06-16,SKU021,127
2026-06-16,SKU022,113
2026-06-16,SKU023,123
2026-06-16,SKU024,121
2026-06-16,SKU025,96
2026-06-16,SKU026,133
2026-06-16,SKU027,116
2026-06-16,SKU028,111
2026-06-16,SKU029,240
2026-06-16,SKU030,240
2026-06-17,SKU001,66
2026-06-17,SKU002,93
2026-06-17,SKU003,38
2026-06-17,SKU004,37
2026-06-17,SKU005,99
2026-06-17,SKU006,70
2026-06-17,SKU007,151
2026-06-17,SKU008,129
2026-06-17,SKU009,113
2026-06-17,SKU010,166
2026-06-17,SKU011,102
2026-06-17,SKU012,97
2026-06-17,SKU013,130
2026-06-17,SKU014,127
2026-06-17,SKU015,126
2026-06-17,SKU016,96
2026-06-17,SKU017,132
2026-06-17,SKU018,130
2026-06-17,SKU019,139
2026-06-17,SKU020,81
2026-06-17,SKU021,122
2026-06-17,SKU022,108
2026-06-17,SKU023,116
2026-06-17,SKU024,113
2026-06-17,SKU025,92
2026-06-17,SKU026,129
2026-06-17,SKU027,114
2026-06-17,SKU028,111
2026-06-17,SKU029,240
2026-06-17,SKU030,240
2026-06-18,SKU001,51
2026-06-18,SKU002,80
2026-06-18,SKU003,26
2026-06-18,SKU004,18
2026-06-18,SKU005,82
2026-06-18,SKU006,56
2026-06-18,SKU007,151
2026-06-18,SKU008,127
2026-06-18,SKU009,112
2026-06-18,SKU010,166
2026-06-18,SKU011,97
2026-06-18,SKU012,94
2026-06-18,SKU013,126
2026-06-18,SKU014,124
2026-06-18,SKU015,116
2026-06-18,SKU016,96
2026-06-18,SKU017,130
2026-06-18,SKU018,125
2026-06-18,SKU019,137
2026-06-18,SKU020,74
2026-06-18,SKU021,118
2026-06-18,SKU022,99
2026-06-18,SKU023,116
2026-06-18,SKU024,113
2026-06-18,SKU025,83
2026-06-18,SKU026,129
2026-06-18,SKU027,110
2026-06-18,SKU028,111
2026-06-18,SKU029,240
2026-06-18,SKU030,240
2026-06-19,SKU001,44
2026-06-19,SKU002,69
2026-06-19,SKU003,19
2026-06-19,SKU004,10
2026-06-19,SKU005,69
2026-06-19,SKU006,52
2026-06-19,SKU007,150
2026-06-19,SKU008,127
2026-06-19,SKU009,100
2026-06-19,SKU010,166
2026-06-19,SKU011,95
2026-06-19,SKU012,84
2026-06-19,SKU013,126
2026-06-19,SKU014,120
2026-06-19,SKU015,116
2026-06-19,SKU016,90
2026-06-19,SKU017,128
2026-06-19,SKU018,125
2026-06-19,SKU019,133
2026-06-19,SKU020,73
2026-06-19,SKU021,111
2026-06-19,SKU022,99
2026-06-19,SKU023,113
2026-06-19,SKU024,113
2026-06-19,SKU025,77
2026-06-19,SKU026,127
2026-06-19,SKU027,97
2026-06-19,SKU028,110
2026-06-19,SKU029,240
2026-06-19,SKU030,240
2026-06-20,SKU001,30
2026-06-20,SKU002,69
2026-06-20,SKU003,5
2026-06-20,SKU004,0
2026-06-20,SKU005,59
2026-06-20,SKU006,42
2026-06-20,SKU007,147
2026-06-20,SKU008,123
2026-06-20,SKU009,96
2026-06-20,SKU010,166
2026-06-20,SKU011,89
2026-06-20,SKU012,78
2026-06-20,SKU013,126
2026-06-20,SKU014,116
2026-06-20,SKU015,107
2026-06-20,SKU016,86
2026-06-20,SKU017,124
2026-06-20,SKU018,125
2026-06-20,SKU019,113
2026-06-20,SKU020,56
2026-06-20,SKU021,109
2026-06-20,SKU022,99
2026-06-20,SKU023,108
2026-06-20,SKU024,110
2026-06-20,SKU025,74
2026-06-20,SKU026,127
2026-06-20,SKU027,95
2026-06-20,SKU028,109
2026-06-20,SKU029,240
2026-06-20,SKU030,240
2026-06-21,SKU001,15
2026-06-21,SKU002,50
2026-06-21,SKU003,0
2026-06-21,SKU004,0
2026-06-21,SKU005,42
2026-06-21,SKU006,36
2026-06-21,SKU007,139
2026-06-21,SKU008,118
2026-06-21,SKU009,90
2026-06-21,SKU010,166
2026-06-21,SKU011,81
2026-06-21,SKU012,78
2026-06-21,SKU013,119
2026-06-21,SKU014,110
2026-06-21,SKU015,107
2026-06-21,SKU016,82
2026-06-21,SKU017,118
2026-06-21,SKU018,114
2026-06-21,SKU019,105
2026-06-21,SKU020,50
2026-06-21,SKU021,99
2026-06-21,SKU022,81
2026-06-21,SKU023,103
2026-06-21,SKU024,91
2026-06-21,SKU025,65
2026-06-21,SKU026,123
2026-06-21,SKU027,92
2026-06-21,SKU028,109
2026-06-21,SKU029,240
2026-06-21,SKU030,240
2026-06-22,SKU001,15
2026-06-22,SKU002,40
2026-06-22,SKU003,0
2026-06-22,SKU004,0
2026-06-22,SKU005,29
2026-06-22,SKU006,21
2026-06-22,SKU007,135
2026-06-22,SKU008,114
2026-06-22,SKU009,86
2026-06-22,SKU010,166
2026-06-22,SKU011,78
2026-06-22,SKU012,68
2026-06-22,SKU013,119
2026-06-22,SKU014,105
2026-06-22,SKU015,105
2026-06-22,SKU016,80
2026-06-22,SKU017,118
2026-06-22,SKU018,114
2026-06-22,SKU019,102
2026-06-22,SKU020,45
2026-06-22,SKU021,96
2026-06-22,SKU022,75
2026-06-22,SKU023,91
2026-06-22,SKU024,89
2026-06-22,SKU025,60
2026-06-22,SKU026,121
2026-06-22,SKU027,91
2026-06-22,SKU028,105
2026-06-22,SKU029,240
2026-06-22,SKU030,240
2026-06-23,SKU001,98
2026-06-23,SKU002,112
2026-06-23,SKU003,79
2026-06-23,SKU004,96
2026-06-23,SKU005,85
2026-06-23,SKU006,88
2026-06-23,SKU007,134
2026-06-23,SKU008,110
2026-06-23,SKU009,146
2026-06-23,SKU010,166
2026-06-23,SKU011,158
2026-06-23,SKU012,144
2026-06-23,SKU013,119
2026-06-23,SKU014,170
2026-06-23,SKU015,176
2026-06-23,SKU016,167
2026-06-23,SKU017,118
2026-06-23,SKU018,110
2026-06-23,SKU019,167
2026-06-23,SKU020,117
2026-06-23,SKU021,155
2026-06-23,SKU022,143
2026-06-23,SKU023,173
2026-06-23,SKU024,160
2026-06-23,SKU025,119
2026-06-23,SKU026,117
2026-06-23,SKU027,158
2026-06-23,SKU028,184
2026-06-23,SKU029,240
2026-06-23,SKU030,240
2026-06-24,SKU001,90
2026-06-24,SKU002,95
2026-06-24,SKU003,68
2026-06-24,SKU004,88
2026-06-24,SKU005,75
2026-06-24,SKU006,72
2026-06-24,SKU007,128
2026-06-24,SKU008,109
2026-06-24,SKU009,143
2026-06-24,SKU010,166
2026-06-24,SKU011,153
2026-06-24,SKU012,143
2026-06-24,SKU013,116
2026-06-24,SKU014,169
2026-06-24,SKU015,175
2026-06-24,SKU016,161
2026-06-24,SKU017,110
2026-06-24,SKU018,104
2026-06-24,SKU019,165
2026-06-24,SKU020,113
2026-06-24,SKU021,142
2026-06-24,SKU022,136
2026-06-24,SKU023,173
2026-06-24,SKU024,154
2026-06-24,SKU025,116
2026-06-24,SKU026,113
2026-06-24,SKU027,157
2026-06-24,SKU028,180
2026-06-24,SKU029,240
2026-06-24,SKU030,240
2026-06-25,SKU001,83
2026-06-25,SKU002,79
2026-06-25,SKU003,63
2026-06-25,SKU004,79
2026-06-25,SKU005,69
2026-06-25,SKU006,70
2026-06-25,SKU007,128
2026-06-25,SKU008,105
2026-06-25,SKU009,141
2026-06-25,SKU010,166
2026-06-25,SKU011,148
2026-06-25,SKU012,143
2026-06-25,SKU013,110
2026-06-25,SKU014,158
2026-06-25,SKU015,168
2026-06-25,SKU016,153
2026-06-25,SKU017,101
2026-06-25,SKU018,103
2026-06-25,SKU019,160
2026-06-25,SKU020,104
2026-06-25,SKU021,139
2026-06-25,SKU022,133
2026-06-25,SKU023,173
2026-06-25,SKU024,145
2026-06-25,SKU025,110
2026-06-25,SKU026,113
2026-06-25,SKU027,145
2026-06-25,SKU028,177
2026-06-25,SKU029,240
2026-06-25,SKU030,240
2026-06-26,SKU001,72
2026-06-26,SKU002,72
2026-06-26,SKU003,50
2026-06-26,SKU004,62
2026-06-26,SKU005,60
2026-06-26,SKU006,65
2026-06-26,SKU007,128
2026-06-26,SKU008,97
2026-06-26,SKU009,141
2026-06-26,SKU010,166
2026-06-26,SKU011,145
2026-06-26,SKU012,134
2026-06-26,SKU013,104
2026-06-26,SKU014,153
2026-06-26,SKU015,165
2026-06-26,SKU016,152
2026-06-26,SKU017,94
2026-06-26,SKU018,97
2026-06-26,SKU019,157
2026-06-26,SKU020,103
2026-06-26,SKU021,139
2026-06-26,SKU022,133
2026-06-26,SKU023,173
2026-06-26,SKU024,144
2026-06-26,SKU025,106
2026-06-26,SKU026,110
2026-06-26,SKU027,137
2026-06-26,SKU028,172
2026-06-26,SKU029,240
2026-06-26,SKU030,240
2026-06-27,SKU001,52
2026-06-27,SKU002,58
2026-06-27,SKU003,28
2026-06-27,SKU004,43
2026-06-27,SKU005,54
2026-06-27,SKU006,48
2026-06-27,SKU007,128
2026-06-27,SKU008,92
2026-06-27,SKU009,141
2026-06-27,SKU010,166
2026-06-27,SKU011,131
2026-06-27,SKU012,127
2026-06-27,SKU013,98
2026-06-27,SKU014,147
2026-06-27,SKU015,160
2026-06-27,SKU016,136
2026-06-27,SKU017,81
2026-06-27,SKU018,86
2026-06-27,SKU019,151
2026-06-27,SKU020,95
2026-06-27,SKU021,132
2026-06-27,SKU022,126
