batch_id,sku,location_id,production_date,expiry_date,available_from,quality_status
B0001,SKU001,L001,2026-05-30,2026-09-17,2026-06-09,RELEASED
B0002,SKU002,L002,2026-05-30,2026-08-18,2026-06-09,RELEASED
B0003,SKU003,L003,2026-05-30,2026-08-18,2026-06-09,RELEASED
B0004,SKU004,L004,2026-05-30,2026-09-17,2026-06-09,RELEASED
B0005,SKU005,L005,2026-05-30,2026-07-24,2026-06-09,RELEASED
B0006,SKU006,L006,2026-05-30,2026-12-06,2026-06-09,RELEASED
B0007,SKU007,L007,2026-05-30,2026-09-17,2026-06-09,RELEASED
B0008,SKU008,L008,2026-05-30,2026-07-24,2026-06-09,RELEASED
B0009,SKU009,L009,2026-05-30,2026-09-17,2026-06-09,RELEASED
B0010,SKU010,L010,2026-05-30,2026-08-08,2026-06-09,RELEASED
B0011,SKU011,L011,2026-05-30,2026-12-06,2026-06-09,RELEASED
B0012,SKU012,L012,2026-05-30,2026-08-18,2026-06-09,RELEASED
B0013,SKU013,L013,2026-05-30,2026-08-18,2026-06-09,RELEASED
B0014,SKU014,L014,2026-05-30,2026-08-18,2026-06-09,RELEASED
B0015,SKU015,L015,2026-05-30,2026-09-17,2026-06-09,RELEASED
B0016,SKU016,L016,2026-05-30,2026-07-24,2026-06-09,RELEASED
B0017,SKU017,L017,2026-05-30,2026-09-17,2026-06-09,RELEASED
B0018,SKU018,L018,2026-05-30,2026-09-17,2026-06-09,RELEASED
B0019,SKU019,L019,2026-05-30,2026-07-24,2026-06-09,RELEASED
B0020,SKU020,L020,2026-05-30,2026-09-17,2026-06-09,RELEASED
B0021,SKU021,L021,2026-05-30,2027-06-09,2026-06-09,RELEASED
B0022,SKU022,L022,2026-05-30,2027-06-09,2026-06-09,RELEASED
B0023,SKU023,L023,2026-05-30,2027-06-09,2026-06-09,RELEASED
B0024,SKU024,L024,2026-05-30,2027-06-09,2026-06-09,RELEASED
B0025,SKU025,L025,2026-05-30,2027-06-09,2026-06-09,RELEASED
B0026,SKU026,L026,2026-05-30,2027-06-09,2026-06-09,RELEASED
B0027,SKU027,L027,2026-05-30,2027-06-09,2026-06-09,RELEASED
B0028,SKU028,L028,2026-05-30,2027-06-09,2026-06-09,RELEASED
B0029,SKU029,L029,2026-05-30,2027-06-09,2026-06-09,RELEASED
B0030,SKU030,L030,2026-05-30,2027-06-09,2026-06-09,RELEASED
B0031,SKU001,L001,2026-06-06,2026-07-31,2026-06-16,RELEASED
B0032,SKU002,L002,2026-06-06,2026-09-24,2026-06-16,RELEASED
B0033,SKU003,L003,2026-06-06,2026-08-25,2026-06-16,RELEASED
B0034,SKU004,L004,2026-06-06,2026-08-25,2026-06-16,RELEASED
B0035,SKU005,L005,2026-06-06,2026-12-13,2026-06-16,RELEASED
B0036,SKU006,L006,2026-06-06,2026-09-24,2026-06-16,RELEASED
B0037,SKU007,L007,2026-06-06,2026-07-31,2026-06-16,RELEASED
B0038,SKU008,L008,2026-06-06,2026-07-31,2026-06-16,RELEASED
B0039,SKU009,L009,2026-06-06,2026-08-25,2026-06-16,RELEASED
B0040,SKU010,L010,2026-06-06,2026-09-24,2026-06-16,RELEASED
B0041,SKU011,L011,2026-06-06,2026-07-31,2026-06-16,RELEASED
B0042,SKU012,L012,2026-06-06,2026-12-13,2026-06-16,RELEASED
B0043,SKU013,L013,2026-06-06,2026-07-31,2026-06-16,RELEASED
B0044,SKU014,L014,2026-06-06,2026-08-25,2026-06-16,RELEASED
B0045,SKU015,L015,2026-06-06,2026-07-31,2026-06-16,RELEASED
B0046,SKU016,L016,2026-06-06,2026-12-13,2026-06-16,RELEASED
B0047,SKU017,L017,2026-06-06,2026-09-24,2026-06-16,RELEASED
B0048,SKU018,L018,2026-06-06,2026-08-25,2026-06-16,RELEASED
B0049,SKU019,L019,2026-06-06,2026-12-13,2026-06-16,RELEASED
B0050,SKU020,L020,2026-06-06,2026-12-13,2026-06-16,RELEASED
B0051,SKU021,L021,2026-06-06,2027-06-16,2026-06-16,RELEASED
B0052,SKU022,L022,2026-06-06,2027-06-16,2026-06-16,RELEASED
B0053,SKU023,L023,2026-06-06,2027-06-16,2026-06-16,RELEASED
B0054,SKU024,L024,2026-06-06,2027-06-16,2026-06-16,RELEASED
B0055,SKU025,L025,2026-06-06,2027-06-16,2026-06-16,RELEASED
B0056,SKU026,L026,2026-06-06,2027-06-16,2026-06-16,RELEASED
B0057,SKU027,L027,2026-06-06,2027-06-16,2026-06-16,RELEASED
B0058,SKU028,L028,2026-06-06,2027-06-16,2026-06-16,RELEASED
B0059,SKU001,L001,2026-06-13,2026-12-20,2026-06-23,RELEASED
B0060,SKU002,L002,2026-06-13,2026-12-20,2026-06-23,RELEASED
B0061,SKU003,L003,2026-06-13,2026-09-01,2026-06-23,RELEASED
B0062,SKU004,L004,2026-06-13,2026-12-20,2026-06-23,RELEASED
B0063,SKU005,L005,2026-06-13,2026-10-01,2026-06-23,RELEASED
B0064,SKU006,L006,2026-06-13,2026-08-07,2026-06-23,RELEASED
B0065,SKU009,L009,2026-06-13,2026-08-07,2026-06-23,RELEASED
B0066,SKU011,L011,2026-06-13,2026-12-20,2026-06-23,RELEASED
B0067,SKU012,L012,2026-06-13,2026-08-07,2026-06-23,RELEASED
B0068,SKU014,L014,2026-06-13,2026-12-20,2026-06-23,RELEASED
B0069,SKU015,L015,2026-06-13,2026-10-01,2026-06-23,RELEASED
B0070,SKU016,L016,2026-06-13,2026-12-20,2026-06-23,RELEASED
B0071,SKU019,L019,2026-06-13,2026-10-01,2026-06-23,RELEASED
B0072,SKU020,L020,2026-06-13,2026-12-20,2026-06-23,RELEASED
B0073,SKU021,L021,2026-06-13,2027-06-23,2026-06-23,RELEASED
B0074,SKU022,L022,2026-06-13,2027-06-23,2026-06-23,RELEASED
B0075,SKU023,L023,2026-06-13,2027-06-23,2026-06-23,RELEASED
B0076,SKU024,L024,2026-06-13,2027-06-23,2026-06-23,RELEASED
B0077,SKU025,L025,2026-06-13,2027-06-23,2026-06-23,RELEASED
B0078,SKU027,L027,2026-06-13,2027-06-23,2026-06-23,RELEASED
B0079,SKU028,L028,2026-06-13,2027-06-23,2026-06-23,RELEASED
B0080,SKU001,L001,2026-06-20,2026-12-27,2026-06-30,RELEASED
B0081,SKU002,L002,2026-06-20,2026-12-27,2026-06-30,RELEASED
B0082,SKU003,L003,2026-06-20,2026-10-08,2026-06-30,RELEASED
B0083,SKU004,L004,2026-06-20,2026-08-14,2026-06-30,RELEASED
B0084,SKU005,L005,2026-06-20,2026-12-27,2026-06-30,RELEASED
B0085,SKU006,L006,2026-06-20,2026-12-27,2026-06-30,RELEASED
B0086,SKU008,L008,2026-06-20,2026-09-08,2026-06-30,RELEASED
B0087,SKU013,L013,2026-06-20,2026-08-14,2026-06-30,RELEASED
B0088,SKU017,L017,2026-06-20,2026-08-14,2026-06-30,RELEASED
B0089,SKU018,L018,2026-06-20,2026-08-14,2026-06-30,RELEASED
B0090,SKU020,L020,2026-06-20,2026-10-08,2026-06-30,RELEASED
B0091,SKU025,L025,2026-06-20,2027-06-30,2026-06-30,RELEASED
B0092,SKU026,L026,2026-06-20,2027-06-30,2026-06-30,RELEASED
B0093,SKU001,L001,2026-06-27,2026-10-15,2026-07-07,RELEASED
B0094,SKU002,L002,2026-06-27,2026-09-15,2026-07-07,RELEASED
B0095,SKU003,L003,2026-06-27,2026-08-21,2026-07-07,RELEASED
B0096,SKU004,L004,2026-06-27,2026-08-21,2026-07-07,RELEASED
B0097,SKU005,L005,2026-06-27,2027-01-03,2026-07-07,RELEASED
B0098,SKU006,L006,2026-06-27,2027-01-03,2026-07-07,HOLD
B0099,SKU007,L007,2026-06-27,2026-08-21,2026-07-07,RELEASED
B0100,SKU009,L009,2026-06-27,2026-09-15,2026-07-07,RELEASED
B0101,SKU011,L011,2026-06-27,2026-10-15,2026-07-07,RELEASED
B0102,SKU012,L012,2026-06-27,2026-09-15,2026-07-07,RELEASED
B0103,SKU014,L014,2026-06-27,2026-10-15,2026-07-07,RELEASED
B0104,SKU016,L016,2026-06-27,2026-08-21,2026-07-07,RELEASED
B0105,SKU021,L021,2026-06-27,2027-07-07,2026-07-07,RELEASED
B0106,SKU022,L022,2026-06-27,2027-07-07,2026-07-07,RELEASED
B0107,SKU024,L024,2026-06-27,2027-07-07,2026-07-07,RELEASED
B0108,SKU027,L027,2026-06-27,2027-07-07,2026-07-07,RELEASED
B0109,SKU002,L002,2026-07-04,2026-10-22,2026-07-14,RELEASED
B0110,SKU003,L003,2026-07-04,2027-01-10,2026-07-14,RELEASED
B0111,SKU004,L004,2026-07-04,2027-01-10,2026-07-14,RELEASED
B0112,SKU005,L005,2026-07-04,2026-10-22,2026-07-14,RELEASED
B0113,SKU006,L006,2026-07-04,2026-09-22,2026-07-14,RELEASED
B0114,SKU007,L007,2026-07-04,2027-01-10,2026-07-14,RELEASED
B0115,SKU013,L013,2026-07-04,2026-09-22,2026-07-14,RELEASED
B0116,SKU015,L015,2026-07-04,2026-09-22,2026-07-14,RELEASED
B0117,SKU018,L018,2026-07-04,2026-10-22,2026-07-14,RELEASED
B0118,SKU019,L019,2026-07-04,2027-01-10,2026-07-14,RELEASED
B0119,SKU022,L022,2026-07-04,2027-07-14,2026-07-14,RELEASED
B0120,SKU023,L023,2026-07-04,2027-07-14,2026-07-14,RELEASED
B0121,SKU028,L028,2026-07-04,2027-07-14,2026-07-14,RELEASED
B0122,SKU002,L002,2026-07-11,2026-10-29,2026-07-21,RELEASED
B0123,SKU003,L003,2026-07-11,2027-01-17,2026-07-21,RELEASED
B0124,SKU004,L004,2026-07-11,2026-09-04,2026-07-21,RELEASED
B0125,SKU005,L005,2026-07-11,2026-09-29,2026-07-21,RELEASED
B0126,SKU006,L006,2026-07-11,2026-09-04,2026-07-21,RELEASED
B0127,SKU007,L007,2026-07-11,2026-10-29,2026-07-21,RELEASED
B0128,SKU008,L008,2026-07-11,2026-09-04,2026-07-21,RELEASED
B0129,SKU009,L009,2026-07-11,2026-09-04,2026-07-21,RELEASED
B0130,SKU011,L011,2026-07-11,2026-10-29,2026-07-21,RELEASED
B0131,SKU016,L016,2026-07-11,2026-09-29,2026-07-21,RELEASED
B0132,SKU017,L017,2026-07-11,2026-10-29,2026-07-21,RELEASED
B0133,SKU020,L020,2026-07-11,2026-09-04,2026-07-21,RELEASED
B0134,SKU024,L024,2026-07-11,2027-07-21,2026-07-21,RELEASED
B0135,SKU025,L025,2026-07-11,2027-07-21,2026-07-21,RELEASED
B0136,SKU026,L026,2026-07-11,2027-07-21,2026-07-21,RELEASED
B0137,SKU027,L027,2026-07-11,2027-07-21,2026-07-21,RELEASED
B0138,SKU002,L002,2026-07-18,2026-10-06,2026-07-28,RELEASED
B0139,SKU003,L003,2026-07-18,2027-01-24,2026-07-28,RELEASED
B0140,SKU004,L004,2026-07-18,2027-01-24,2026-07-28,RELEASED
B0141,SKU005,L005,2026-07-18,2026-10-06,2026-07-28,RELEASED
B0142,SKU006,L006,2026-07-18,2026-09-11,2026-07-28,RELEASED
B0143,SKU012,L012,2026-07-18,2026-11-05,2026-07-28,RELEASED
B0144,SKU013,L013,2026-07-18,2026-09-11,2026-07-28,RELEASED
B0145,SKU014,L014,2026-07-18,2026-09-11,2026-07-28,RELEASED
B0146,SKU015,L015,2026-07-18,2026-11-05,2026-07-28,RELEASED
B0147,SKU019,L019,2026-07-18,2027-01-24,2026-07-28,RELEASED
B0148,SKU021,L021,2026-07-18,2027-07-28,2026-07-28,RELEASED
B0149,SKU023,L023,2026-07-18,2027-07-28,2026-07-28,RELEASED
B0150,SKU027,L027,2026-07-18,2027-07-28,2026-07-28,RELEASED
B0151,SKU028,L028,2026-07-18,2027-07-28,2026-07-28,RELEASED
B0152,SKU001,L001,2026-07-25,2027-01-31,2026-08-04,RELEASED
B0153,SKU002,L002,2026-07-25,2026-10-13,2026-08-04,RELEASED
B0154,SKU003,L003,2026-07-25,2026-10-13,2026-08-04,RELEASED
B0155,SKU004,L004,2026-07-25,2027-01-31,2026-08-04,RELEASED
B0156,SKU005,L005,2026-07-25,2026-09-18,2026-08-04,RELEASED
B0157,SKU006,L006,2026-07-25,2027-01-31,2026-08-04,RELEASED
B0158,SKU009,L009,2026-07-25,2027-01-31,2026-08-04,RELEASED
B0159,SKU011,L011,2026-07-25,2027-01-31,2026-08-04,RELEASED
B0160,SKU015,L015,2026-07-25,2027-01-31,2026-08-04,RELEASED
B0161,SKU021,L021,2026-07-25,2027-08-04,2026-08-04,RELEASED
B0162,SKU022,L022,2026-07-25,2027-08-04,2026-08-04,RELEASED
B0163,SKU001,L001,2026-08-01,2027-02-07,2026-08-11,RELEASED
B0164,SKU002,L002,2026-08-01,2026-11-19,2026-08-11,RELEASED
B0165,SKU003,L003,2026-08-01,2026-10-20,2026-08-11,RELEASED
B0166,SKU004,L004,2026-08-01,2026-09-25,2026-08-11,RELEASED
B0167,SKU005,L005,2026-08-01,2027-02-07,2026-08-11,RELEASED
B0168,SKU006,L006,2026-08-01,2026-11-19,2026-08-11,RELEASED
B0169,SKU008,L008,2026-08-01,2026-09-25,2026-08-11,RELEASED
B0170,SKU010,L010,2026-08-01,2026-11-19,2026-08-11,RELEASED
B0171,SKU012,L012,2026-08-01,2026-09-25,2026-08-11,RELEASED
B0172,SKU013,L013,2026-08-01,2026-11-19,2026-08-11,RELEASED
B0173,SKU016,L016,2026-08-01,2026-09-25,2026-08-11,RELEASED
B0174,SKU017,L017,2026-08-01,2026-11-19,2026-08-11,RELEASED
B0175,SKU018,L018,2026-08-01,2027-02-07,2026-08-11,RELEASED
B0176,SKU019,L019,2026-08-01,2026-09-25,2026-08-11,RELEASED
B0177,SKU020,L020,2026-08-01,2026-11-19,2026-08-11,RELEASED
B0178,SKU023,L023,2026-08-01,2027-08-11,2026-08-11,RELEASED
B0179,SKU024,L024,2026-08-01,2027-08-11,2026-08-11,RELEASED
B0180,SKU025,L025,2026-08-01,2027-08-11,2026-08-11,RELEASED
B0181,SKU026,L026,2026-08-01,2027-08-11,2026-08-11,RELEASED
B0182,SKU001,L001,2026-08-08,2027-02-14,2026-08-18,RELEASED
B0183,SKU002,L002,2026-08-08,2026-10-27,2026-08-18,RELEASED
B0184,SKU003,L003,2026-08-08,2026-10-02,2026-08-18,RELEASED
B0185,SKU004,L004,2026-08-08,2027-02-14,2026-08-18,RELEASED
B0186,SKU005,L005,2026-08-08,2026-11-26,2026-08-18,RELEASED
B0187,SKU006,L006,2026-08-08,2026-10-02,2026-08-18,RELEASED
B0188,SKU007,L007,2026-08-08,2027-02-14,2026-08-18,RELEASED
B0189,SKU009,L009,2026-08-08,2026-10-27,2026-08-18,RELEASED
B0190,SKU014,L014,2026-08-08,2026-11-26,2026-08-18,RELEASED
B0191,SKU022,L022,2026-08-08,2027-08-18,2026-08-18,RELEASED
B0192,SKU027,L027,2026-08-08,2027-08-18,2026-08-18,RELEASED
B0193,SKU028,L028,2026-08-08,2027-08-18,2026-08-18,RELEASED
B0194,SKU001,L001,2026-08-15,2027-02-21,2026-08-25,RELEASED
B0195,SKU003,L003,2026-08-15,2027-02-21,2026-08-25,RELEASED
B0196,SKU004,L004,2026-08-15,2027-02-21,2026-08-25,RELEASED
B0197,SKU005,L005,2026-08-15,2026-12-03,2026-08-25,RELEASED
B0198,SKU006,L006,2026-08-15,2026-10-09,2026-08-25,RELEASED
B0199,SKU011,L011,2026-08-15,2027-02-21,2026-08-25,RELEASED
B0200,SKU015,L015,2026-08-15,2026-10-09,2026-08-25,RELEASED
B0201,SKU017,L017,2026-08-15,2026-11-03,2026-08-25,RELEASED
B0202,SKU018,L018,2026-08-15,2026-12-03,2026-08-25,RELEASED
B0203,SKU019,L019,2026-08-15,2027-02-21,2026-08-25,RELEASED
B0204,SKU021,L021,2026-08-15,2027-08-25,2026-08-25,RELEASED
B0205,SKU022,L022,2026-08-15,2027-08-25,2026-08-25,RELEASED
B0206,SKU023,L023,2026-08-15,2027-08-25,2026-08-25,RELEASED
B0207,SKU025,L025,2026-08-15,2027-08-25,2026-08-25,RELEASED
B0208,SKU001,L001,2026-08-22,2026-10-16,2026-09-01,RELEASED
B0209,SKU002,L002,2026-08-22,2026-11-10,2026-09-01,RELEASED
B0210,SKU003,L003,2026-08-22,2026-11-10,2026-09-01,RELEASED
B0211,SKU004,L004,2026-08-22,2026-11-10,2026-09-01,RELEASED
B0212,SKU005,L005,2026-08-22,2026-10-16,2026-09-01,RELEASED
B0213,SKU006,L006,2026-08-22,2026-10-16,2026-09-01,RELEASED
B0214,SKU007,L007,2026-08-22,2026-10-16,2026-09-01,RELEASED
B0215,SKU008,L008,2026-08-22,2026-10-16,2026-09-01,RELEASED
B0216,SKU009,L009,2026-08-22,2027-02-28,2026-09-01,RELEASED
B0217,SKU012,L012,2026-08-22,2027-02-28,2026-09-01,RELEASED
B0218,SKU013,L013,2026-08-22,2026-11-10,2026-09-01,RELEASED
B0219,SKU014,L014,2026-08-22,2026-12-10,2026-09-01,RELEASED
B0220,SKU016,L016,2026-08-22,2026-10-16,2026-09-01,RELEASED
B0221,SKU025,L025,2026-08-22,2027-09-01,2026-09-01,RELEASED
B0222,SKU026,L026,2026-08-22,2027-09-01,2026-09-01,RELEASED
B0223,SKU027,L027,2026-08-22,2027-09-01,2026-09-01,RELEASED
B0224,SKU028,L028,2026-08-22,2027-09-01,2026-09-01,RELEASED
