inspection_id,inspection_date,location_id,item,finding,followup_status
I0001,2026-06-09,L024,包装完整、货位标识与通道,货位标签模糊,OPEN
I0002,2026-06-09,L009,包装完整、货位标识与通道,未发现异常,CLOSED
I0003,2026-06-09,L028,包装完整、货位标识与通道,未发现异常,CLOSED
I0004,2026-06-09,L003,包装完整、货位标识与通道,未发现异常,CLOSED
I0005,2026-06-09,L026,包装完整、货位标识与通道,未发现异常,CLOSED
I0006,2026-06-16,L020,包装完整、货位标识与通道,未发现异常,CLOSED
I0007,2026-06-16,L024,包装完整、货位标识与通道,未发现异常,CLOSED
I0008,2026-06-16,L001,包装完整、货位标识与通道,未发现异常,CLOSED
I0009,2026-06-16,L009,包装完整、货位标识与通道,未发现异常,CLOSED
I0010,2026-06-16,L003,包装完整、货位标识与通道,货位标签模糊,OPEN
I0011,2026-06-23,L014,包装完整、货位标识与通道,未发现异常,CLOSED
I0012,2026-06-23,L008,包装完整、货位标识与通道,未发现异常,CLOSED
I0013,2026-06-23,L001,包装完整、货位标识与通道,未发现异常,CLOSED
I0014,2026-06-23,L023,包装完整、货位标识与通道,未发现异常,CLOSED
I0015,2026-06-23,L007,包装完整、货位标识与通道,未发现异常,CLOSED
I0016,2026-06-30,L007,包装完整、货位标识与通道,未发现异常,CLOSED
I0017,2026-06-30,L016,包装完整、货位标识与通道,未发现异常,CLOSED
I0018,2026-06-30,L027,包装完整、货位标识与通道,未发现异常,CLOSED
I0019,2026-06-30,L005,包装完整、货位标识与通道,货位标签模糊,OPEN
I0020,2026-06-30,L009,包装完整、货位标识与通道,未发现异常,CLOSED
I0021,2026-07-07,L030,包装完整、货位标识与通道,未发现异常,CLOSED
I0022,2026-07-07,L017,包装完整、货位标识与通道,未发现异常,CLOSED
I0023,2026-07-07,L004,包装完整、货位标识与通道,未发现异常,CLOSED
I0024,2026-07-07,L007,包装完整、货位标识与通道,未发现异常,CLOSED
I0025,2026-07-07,L019,包装完整、货位标识与通道,未发现异常,CLOSED
I0026,2026-07-14,L016,包装完整、货位标识与通道,未发现异常,CLOSED
I0027,2026-07-14,L008,包装完整、货位标识与通道,未发现异常,CLOSED
I0028,2026-07-14,L027,包装完整、货位标识与通道,货位标签模糊,OPEN
I0029,2026-07-14,L001,包装完整、货位标识与通道,未发现异常,CLOSED
I0030,2026-07-14,L030,包装完整、货位标识与通道,未发现异常,CLOSED
I0031,2026-07-21,L011,包装完整、货位标识与通道,未发现异常,CLOSED
I0032,2026-07-21,L007,包装完整、货位标识与通道,未发现异常,CLOSED
I0033,2026-07-21,L030,包装完整、货位标识与通道,未发现异常,CLOSED
I0034,2026-07-21,L008,包装完整、货位标识与通道,未发现异常,CLOSED
I0035,2026-07-21,L021,包装完整、货位标识与通道,未发现异常,CLOSED
I0036,2026-07-28,L018,包装完整、货位标识与通道,未发现异常,CLOSED
I0037,2026-07-28,L029,包装完整、货位标识与通道,货位标签模糊,OPEN
I0038,2026-07-28,L002,包装完整、货位标识与通道,未发现异常,CLOSED
I0039,2026-07-28,L010,包装完整、货位标识与通道,未发现异常,CLOSED
I0040,2026-07-28,L017,包装完整、货位标识与通道,未发现异常,CLOSED
I0041,2026-08-04,L009,包装完整、货位标识与通道,未发现异常,CLOSED
I0042,2026-08-04,L008,包装完整、货位标识与通道,未发现异常,CLOSED
I0043,2026-08-04,L029,包装完整、货位标识与通道,未发现异常,CLOSED
I0044,2026-08-04,L018,包装完整、货位标识与通道,未发现异常,CLOSED
I0045,2026-08-04,L014,包装完整、货位标识与通道,未发现异常,CLOSED
I0046,2026-08-11,L017,包装完整、货位标识与通道,货位标签模糊,OPEN
I0047,2026-08-11,L020,包装完整、货位标识与通道,未发现异常,CLOSED
I0048,2026-08-11,L021,包装完整、货位标识与通道,未发现异常,CLOSED
I0049,2026-08-11,L002,包装完整、货位标识与通道,未发现异常,CLOSED
I0050,2026-08-11,L004,包装完整、货位标识与通道,未发现异常,CLOSED
I0051,2026-08-18,L027,包装完整、货位标识与通道,未发现异常,CLOSED
I0052,2026-08-18,L014,包装完整、货位标识与通道,未发现异常,CLOSED
I0053,2026-08-18,L008,包装完整、货位标识与通道,未发现异常,CLOSED
I0054,2026-08-18,L021,包装完整、货位标识与通道,未发现异常,CLOSED
I0055,2026-08-18,L012,包装完整、货位标识与通道,货位标签模糊,OPEN
I0056,2026-08-25,L008,包装完整、货位标识与通道,未发现异常,CLOSED
I0057,2026-08-25,L028,包装完整、货位标识与通道,未发现异常,CLOSED
I0058,2026-08-25,L029,包装完整、货位标识与通道,未发现异常,CLOSED
I0059,2026-08-25,L023,包装完整、货位标识与通道,未发现异常,CLOSED
I0060,2026-08-25,L016,包装完整、货位标识与通道,未发现异常,CLOSED
I0061,2026-09-01,L015,包装完整、货位标识与通道,未发现异常,CLOSED
I0062,2026-09-01,L021,包装完整、货位标识与通道,未发现异常,CLOSED
I0063,2026-09-01,L018,包装完整、货位标识与通道,未发现异常,CLOSED
I0064,2026-09-01,L012,包装完整、货位标识与通道,货位标签模糊,OPEN
I0065,2026-09-01,L023,包装完整、货位标识与通道,未发现异常,CLOSED
