location_id,zone,x_m,y_m,max_weight_kg
L001,DRY_FOOD,4,14,1000
L002,DRY_FOOD,6,14,1000
L003,DRY_FOOD,8,14,1000
L004,DRY_FOOD,10,14,1000
L005,DRY_FOOD,2,14,1000
L006,DRY_FOOD,4,12,1000
L007,DRY_FOOD,6,12,1000
L008,DRY_FOOD,8,12,1000
L009,DRY_FOOD,10,12,1000
L010,DRY_FOOD,2,12,1000
L011,DRY_FOOD,4,10,1000
L012,DRY_FOOD,6,10,1000
L013,DRY_FOOD,8,10,1000
L014,DRY_FOOD,10,10,1000
L015,DRY_FOOD,2,10,1000
L016,DRY_FOOD,4,8,1000
L017,DRY_FOOD,6,8,1000
L018,DRY_FOOD,8,8,1000
L019,DRY_FOOD,10,8,1000
L020,DRY_FOOD,2,8,1000
L021,PACKAGING,4,6,1000
L022,PACKAGING,6,6,1000
L023,PACKAGING,8,6,1000
L024,PACKAGING,10,6,1000
L025,PACKAGING,2,6,1000
L026,PACKAGING,4,4,1000
L027,PACKAGING,6,4,1000
L028,PACKAGING,8,4,1000
L029,PACKAGING,10,4,1000
L030,PACKAGING,2,4,1000
