movement_id,document_id,event_time,movement_type,sku,batch_id,location_id,quantity,order_line_id,receipt_id
M000001,D000001,2026-06-09 00:00:00,OPENING,SKU001,B0001,L001,80,,
M000002,D000002,2026-06-09 00:00:00,OPENING,SKU002,B0002,L002,80,,
M000003,D000003,2026-06-09 00:00:00,OPENING,SKU003,B0003,L003,80,,
M000004,D000004,2026-06-09 00:00:00,OPENING,SKU004,B0004,L004,80,,
M000005,D000005,2026-06-09 00:00:00,OPENING,SKU005,B0005,L005,80,,
M000006,D000006,2026-06-09 00:00:00,OPENING,SKU006,B0006,L006,80,,
M000007,D000007,2026-06-09 00:00:00,OPENING,SKU007,B0007,L007,80,,
M000008,D000008,2026-06-09 00:00:00,OPENING,SKU008,B0008,L008,80,,
M000009,D000009,2026-06-09 00:00:00,OPENING,SKU009,B0009,L009,80,,
M000010,D000010,2026-06-09 00:00:00,OPENING,SKU010,B0010,L010,80,,
M000011,D000011,2026-06-09 00:00:00,OPENING,SKU011,B0011,L011,80,,
M000012,D000012,2026-06-09 00:00:00,OPENING,SKU012,B0012,L012,80,,
M000013,D000013,2026-06-09 00:00:00,OPENING,SKU013,B0013,L013,80,,
M000014,D000014,2026-06-09 00:00:00,OPENING,SKU014,B0014,L014,80,,
M000015,D000015,2026-06-09 00:00:00,OPENING,SKU015,B0015,L015,80,,
M000016,D000016,2026-06-09 00:00:00,OPENING,SKU016,B0016,L016,80,,
M000017,D000017,2026-06-09 00:00:00,OPENING,SKU017,B0017,L017,80,,
M000018,D000018,2026-06-09 00:00:00,OPENING,SKU018,B0018,L018,80,,
M000019,D000019,2026-06-09 00:00:00,OPENING,SKU019,B0019,L019,80,,
M000020,D000020,2026-06-09 00:00:00,OPENING,SKU020,B0020,L020,80,,
M000021,D000021,2026-06-09 00:00:00,OPENING,SKU021,B0021,L021,80,,
M000022,D000022,2026-06-09 00:00:00,OPENING,SKU022,B0022,L022,80,,
M000023,D000023,2026-06-09 00:00:00,OPENING,SKU023,B0023,L023,80,,
M000024,D000024,2026-06-09 00:00:00,OPENING,SKU024,B0024,L024,80,,
M000025,D000025,2026-06-09 00:00:00,OPENING,SKU025,B0025,L025,80,,
M000026,D000026,2026-06-09 00:00:00,OPENING,SKU026,B0026,L026,80,,
M000027,D000027,2026-06-09 00:00:00,OPENING,SKU027,B0027,L027,80,,
M000028,D000028,2026-06-09 00:00:00,OPENING,SKU028,B0028,L028,80,,
M000029,D000029,2026-06-09 00:00:00,OPENING,SKU029,B0029,L029,240,,
M000030,D000030,2026-06-09 00:00:00,OPENING,SKU030,B0030,L030,240,,
M000031,D000031,2026-06-09 14:00:00,ISSUE,SKU002,B0002,L002,1,O00001,
M000032,D000032,2026-06-09 14:00:00,ISSUE,SKU004,B0004,L004,1,O00002,
M000033,D000033,2026-06-09 14:00:00,ISSUE,SKU017,B0017,L017,2,O00003,
M000034,D000034,2026-06-09 14:00:00,ISSUE,SKU022,B0022,L022,1,O00004,
M000035,D000035,2026-06-09 14:00:00,ISSUE,SKU026,B0026,L026,2,O00005,
M000036,D000036,2026-06-09 14:00:00,ISSUE,SKU001,B0001,L001,3,O00006,
M000037,D000037,2026-06-09 14:00:00,ISSUE,SKU002,B0002,L002,5,O00007,
M000038,D000038,2026-06-09 14:00:00,ISSUE,SKU003,B0003,L003,4,O00008,
M000039,D000039,2026-06-09 14:00:00,ISSUE,SKU004,B0004,L004,1,O00009,
M000040,D000040,2026-06-09 14:00:00,ISSUE,SKU005,B0005,L005,3,O00010,
M000041,D000041,2026-06-09 14:00:00,ISSUE,SKU011,B0011,L011,1,O00011,
M000042,D000042,2026-06-09 14:00:00,ISSUE,SKU024,B0024,L024,1,O00012,
M000043,D000043,2026-06-09 14:00:00,ISSUE,SKU025,B0025,L025,1,O00013,
M000044,D000044,2026-06-09 14:00:00,ISSUE,SKU027,B0027,L027,5,O00014,
M000045,D000045,2026-06-09 14:00:00,ISSUE,SKU003,B0003,L003,6,O00015,
M000046,D000046,2026-06-09 14:00:00,ISSUE,SKU005,B0005,L005,2,O00016,
M000047,D000047,2026-06-09 14:00:00,ISSUE,SKU007,B0007,L007,2,O00017,
M000048,D000048,2026-06-09 14:00:00,ISSUE,SKU018,B0018,L018,1,O00018,
M000049,D000049,2026-06-09 14:00:00,ISSUE,SKU019,B0019,L019,6,O00019,
M000050,D000050,2026-06-09 14:00:00,ISSUE,SKU027,B0027,L027,5,O00020,
M000051,D000051,2026-06-09 14:00:00,ISSUE,SKU003,B0003,L003,3,O00021,
M000052,D000052,2026-06-09 14:00:00,ISSUE,SKU004,B0004,L004,4,O00022,
M000053,D000053,2026-06-09 14:00:00,ISSUE,SKU006,B0006,L006,4,O00023,
M000054,D000054,2026-06-09 14:00:00,ISSUE,SKU011,B0011,L011,4,O00024,
M000055,D000055,2026-06-09 14:00:00,ISSUE,SKU016,B0016,L016,4,O00025,
M000056,D000056,2026-06-09 14:00:00,ISSUE,SKU019,B0019,L019,6,O00026,
M000057,D000057,2026-06-09 14:00:00,ISSUE,SKU003,B0003,L003,4,O00027,
M000058,D000058,2026-06-09 14:00:00,ISSUE,SKU004,B0004,L004,4,O00028,
M000059,D000059,2026-06-09 14:00:00,ISSUE,SKU005,B0005,L005,2,O00029,
M000060,D000060,2026-06-09 14:00:00,ISSUE,SKU006,B0006,L006,3,O00030,
M000061,D000061,2026-06-09 14:00:00,ISSUE,SKU011,B0011,L011,4,O00031,
M000062,D000062,2026-06-09 14:00:00,ISSUE,SKU012,B0012,L012,1,O00032,
M000063,D000063,2026-06-09 14:00:00,ISSUE,SKU014,B0014,L014,1,O00033,
M000064,D000064,2026-06-09 14:00:00,ISSUE,SKU016,B0016,L016,2,O00034,
M000065,D000065,2026-06-09 14:00:00,ISSUE,SKU023,B0023,L023,4,O00035,
M000066,D000066,2026-06-09 14:00:00,ISSUE,SKU024,B0024,L024,2,O00036,
M000067,D000067,2026-06-09 14:00:00,ISSUE,SKU025,B0025,L025,4,O00037,
M000068,D000068,2026-06-09 14:00:00,ISSUE,SKU028,B0028,L028,3,O00038,
M000069,D000069,2026-06-10 14:00:00,ISSUE,SKU001,B0001,L001,4,O00039,
M000070,D000070,2026-06-10 14:00:00,ISSUE,SKU003,B0003,L003,4,O00040,
M000071,D000071,2026-06-10 14:00:00,ISSUE,SKU004,B0004,L004,3,O00041,
M000072,D000072,2026-06-10 14:00:00,ISSUE,SKU006,B0006,L006,3,O00042,
M000073,D000073,2026-06-10 14:00:00,ISSUE,SKU014,B0014,L014,3,O00043,
M000074,D000074,2026-06-10 14:00:00,ISSUE,SKU015,B0015,L015,2,O00044,
M000075,D000075,2026-06-10 14:00:00,ISSUE,SKU019,B0019,L019,2,O00045,
M000076,D000076,2026-06-10 14:00:00,ISSUE,SKU022,B0022,L022,2,O00046,
M000077,D000077,2026-06-10 14:00:00,ISSUE,SKU023,B0023,L023,2,O00047,
M000078,D000078,2026-06-10 14:00:00,ISSUE,SKU025,B0025,L025,1,O00048,
M000079,D000079,2026-06-10 14:00:00,ISSUE,SKU028,B0028,L028,3,O00049,
M000080,D000080,2026-06-10 14:00:00,ISSUE,SKU001,B0001,L001,2,O00050,
M000081,D000081,2026-06-10 14:00:00,ISSUE,SKU002,B0002,L002,4,O00051,
M000082,D000082,2026-06-10 14:00:00,ISSUE,SKU003,B0003,L003,1,O00052,
M000083,D000083,2026-06-10 14:00:00,ISSUE,SKU006,B0006,L006,5,O00053,
M000084,D000084,2026-06-10 14:00:00,ISSUE,SKU011,B0011,L011,4,O00054,
