order_line_id,order_id,order_time,store_id,sku,requested_qty,promised_ship_time,actual_ship_time
O00001,ORD000S1,2026-06-09 10:00:00,S1,SKU002,1,2026-06-09 18:00:00,2026-06-09 14:00:00
O00002,ORD000S1,2026-06-09 10:00:00,S1,SKU004,1,2026-06-09 18:00:00,2026-06-09 14:00:00
O00003,ORD000S1,2026-06-09 10:00:00,S1,SKU017,2,2026-06-09 18:00:00,2026-06-09 14:00:00
O00004,ORD000S1,2026-06-09 10:00:00,S1,SKU022,1,2026-06-09 18:00:00,2026-06-09 14:00:00
O00005,ORD000S1,2026-06-09 10:00:00,S1,SKU026,2,2026-06-09 18:00:00,2026-06-09 14:00:00
O00006,ORD000S2,2026-06-09 10:00:00,S2,SKU001,3,2026-06-09 18:00:00,2026-06-09 14:00:00
O00007,ORD000S2,2026-06-09 10:00:00,S2,SKU002,5,2026-06-09 18:00:00,2026-06-09 14:00:00
O00008,ORD000S2,2026-06-09 10:00:00,S2,SKU003,4,2026-06-09 18:00:00,2026-06-09 14:00:00
O00009,ORD000S2,2026-06-09 10:00:00,S2,SKU004,1,2026-06-09 18:00:00,2026-06-09 14:00:00
O00010,ORD000S2,2026-06-09 10:00:00,S2,SKU005,3,2026-06-09 18:00:00,2026-06-09 14:00:00
O00011,ORD000S2,2026-06-09 10:00:00,S2,SKU011,1,2026-06-09 18:00:00,2026-06-09 14:00:00
O00012,ORD000S2,2026-06-09 10:00:00,S2,SKU024,1,2026-06-09 18:00:00,2026-06-09 14:00:00
O00013,ORD000S2,2026-06-09 10:00:00,S2,SKU025,1,2026-06-09 18:00:00,2026-06-09 14:00:00
O00014,ORD000S2,2026-06-09 10:00:00,S2,SKU027,5,2026-06-09 18:00:00,2026-06-09 14:00:00
O00015,ORD000S3,2026-06-09 10:00:00,S3,SKU003,6,2026-06-09 18:00:00,2026-06-09 14:00:00
O00016,ORD000S3,2026-06-09 10:00:00,S3,SKU005,2,2026-06-09 18:00:00,2026-06-09 14:00:00
O00017,ORD000S3,2026-06-09 10:00:00,S3,SKU007,2,2026-06-09 18:00:00,2026-06-09 14:00:00
O00018,ORD000S3,2026-06-09 10:00:00,S3,SKU018,1,2026-06-09 18:00:00,2026-06-09 14:00:00
O00019,ORD000S3,2026-06-09 10:00:00,S3,SKU019,6,2026-06-09 18:00:00,2026-06-09 14:00:00
O00020,ORD000S3,2026-06-09 10:00:00,S3,SKU027,5,2026-06-09 18:00:00,2026-06-09 14:00:00
O00021,ORD000S4,2026-06-09 10:00:00,S4,SKU003,3,2026-06-09 18:00:00,2026-06-09 14:00:00
O00022,ORD000S4,2026-06-09 10:00:00,S4,SKU004,4,2026-06-09 18:00:00,2026-06-09 14:00:00
O00023,ORD000S4,2026-06-09 10:00:00,S4,SKU006,4,2026-06-09 18:00:00,2026-06-09 14:00:00
O00024,ORD000S4,2026-06-09 10:00:00,S4,SKU011,4,2026-06-09 18:00:00,2026-06-09 14:00:00
