sku,product_name,category,base_unit,specification,unit_cost_cny,safety_stock_qty,expiry_warning_days,storage_zone,storage_note,unit_weight_kg
SKU001,茉莉绿茶,茶叶,袋,500g/袋,79.76,25,30,DRY_FOOD,模拟未开封常温干燥储存；实际以标签和企业SOP为准,0.5
SKU002,红茶,茶叶,袋,500g/袋,78.48,25,30,DRY_FOOD,模拟未开封常温干燥储存；实际以标签和企业SOP为准,0.5
SKU003,乌龙茶,茶叶,袋,500g/袋,41.99,25,30,DRY_FOOD,模拟未开封常温干燥储存；实际以标签和企业SOP为准,0.5
SKU004,四季春茶,茶叶,袋,500g/袋,70.39,25,30,DRY_FOOD,模拟未开封常温干燥储存；实际以标签和企业SOP为准,0.5
SKU005,桂花乌龙,茶叶,袋,500g/袋,56.61,25,30,DRY_FOOD,模拟未开封常温干燥储存；实际以标签和企业SOP为准,0.5
SKU006,焙火乌龙,茶叶,袋,500g/袋,30.07,25,30,DRY_FOOD,模拟未开封常温干燥储存；实际以标签和企业SOP为准,0.5
SKU007,白桃乌龙,茶叶,袋,500g/袋,30.79,25,30,DRY_FOOD,模拟未开封常温干燥储存；实际以标签和企业SOP为准,0.5
SKU008,普洱茶,茶叶,袋,500g/袋,72.54,25,30,DRY_FOOD,模拟未开封常温干燥储存；实际以标签和企业SOP为准,0.5
SKU009,龙井茶,茶叶,袋,500g/袋,21.12,25,30,DRY_FOOD,模拟未开封常温干燥储存；实际以标签和企业SOP为准,0.5
SKU010,栀子绿茶,茶叶,袋,500g/袋,29.05,25,30,DRY_FOOD,模拟未开封常温干燥储存；实际以标签和企业SOP为准,0.5
SKU011,原味糖浆,液体原料,瓶,1L/瓶,24.06,25,30,DRY_FOOD,模拟未开封常温干燥储存；实际以标签和企业SOP为准,1
SKU012,黑糖糖浆,液体原料,瓶,1L/瓶,77.96,25,30,DRY_FOOD,模拟未开封常温干燥储存；实际以标签和企业SOP为准,1
SKU013,香草糖浆,液体原料,瓶,1L/瓶,70.63,25,30,DRY_FOOD,模拟未开封常温干燥储存；实际以标签和企业SOP为准,1
SKU014,焦糖糖浆,液体原料,瓶,1L/瓶,70.99,25,30,DRY_FOOD,模拟未开封常温干燥储存；实际以标签和企业SOP为准,1
SKU015,果糖浆,液体原料,瓶,1L/瓶,53.46,25,30,DRY_FOOD,模拟未开封常温干燥储存；实际以标签和企业SOP为准,1
SKU016,常温椰浆,液体原料,瓶,1L/瓶,13.06,25,30,DRY_FOOD,模拟未开封常温干燥储存；实际以标签和企业SOP为准,1
SKU017,常温椰乳,液体原料,瓶,1L/瓶,39.16,25,30,DRY_FOOD,模拟未开封常温干燥储存；实际以标签和企业SOP为准,1
SKU018,常温燕麦饮,液体原料,瓶,1L/瓶,63.65,25,30,DRY_FOOD,模拟未开封常温干燥储存；实际以标签和企业SOP为准,1
SKU019,常温全脂奶,液体原料,瓶,1L/瓶,81.96,25,30,DRY_FOOD,模拟未开封常温干燥储存；实际以标签和企业SOP为准,1
SKU020,常温厚乳,液体原料,瓶,1L/瓶,65.56,25,30,DRY_FOOD,模拟未开封常温干燥储存；实际以标签和企业SOP为准,1
SKU021,500ml杯,包材,包,100个/包,20.77,40,60,PACKAGING,模拟未开封常温干燥储存；实际以标签和企业SOP为准,0.3
SKU022,700ml杯,包材,包,100个/包,16.36,40,60,PACKAGING,模拟未开封常温干燥储存；实际以标签和企业SOP为准,0.3
SKU023,500ml杯盖,包材,包,100个/包,12.46,40,60,PACKAGING,模拟未开封常温干燥储存；实际以标签和企业SOP为准,0.3
SKU024,700ml杯盖,包材,包,100个/包,19.8,40,60,PACKAGING,模拟未开封常温干燥储存；实际以标签和企业SOP为准,0.3
SKU025,粗吸管,包材,包,100个/包,39.42,40,60,PACKAGING,模拟未开封常温干燥储存；实际以标签和企业SOP为准,0.3
SKU026,细吸管,包材,包,100个/包,14.19,40,60,PACKAGING,模拟未开封常温干燥储存；实际以标签和企业SOP为准,0.3
SKU027,单杯袋,包材,包,100个/包,30.89,40,60,PACKAGING,模拟未开封常温干燥储存；实际以标签和企业SOP为准,0.3
SKU028,双杯袋,包材,包,100个/包,55.53,40,60,PACKAGING,模拟未开封常温干燥储存；实际以标签和企业SOP为准,0.3
SKU029,封口膜,包材,包,1卷/包,52.7,40,60,PACKAGING,模拟未开封常温干燥储存；实际以标签和企业SOP为准,0.3
SKU030,纸巾,包材,包,100张/包,27.65,40,60,PACKAGING,模拟未开封常温干燥储存；实际以标签和企业SOP为准,0.3
