receipt_id,receipt_date,purchase_order,supplier_id,sku,batch_id,expected_qty,received_qty,document_complete,acceptance_status
R0001,2026-06-16,PO0001,SUP1,SKU001,B0031,82,80,YES,ACCEPTED
R0002,2026-06-16,PO0002,SUP1,SKU002,B0032,81,81,YES,ACCEPTED
R0003,2026-06-16,PO0003,SUP1,SKU003,B0033,67,67,YES,ACCEPTED
R0004,2026-06-16,PO0004,SUP1,SKU004,B0034,68,68,YES,ACCEPTED
R0005,2026-06-16,PO0005,SUP1,SKU005,B0035,99,99,YES,ACCEPTED
R0006,2026-06-16,PO0006,SUP1,SKU006,B0036,78,78,YES,ACCEPTED
R0007,2026-06-16,PO0007,SUP1,SKU007,B0037,99,99,YES,ACCEPTED
R0008,2026-06-16,PO0008,SUP1,SKU008,B0038,92,92,YES,ACCEPTED
R0009,2026-06-16,PO0009,SUP1,SKU009,B0039,76,76,YES,ACCEPTED
R0010,2026-06-16,PO0010,SUP1,SKU010,B0040,86,86,YES,ACCEPTED
R0011,2026-06-16,PO0011,SUP2,SKU011,B0041,80,80,YES,ACCEPTED
R0012,2026-06-16,PO0012,SUP2,SKU012,B0042,60,60,YES,ACCEPTED
R0013,2026-06-16,PO0013,SUP2,SKU013,B0043,68,68,YES,ACCEPTED
R0014,2026-06-16,PO0014,SUP2,SKU014,B0044,82,82,YES,ACCEPTED
R0015,2026-06-16,PO0015,SUP2,SKU015,B0045,68,68,YES,ACCEPTED
R0016,2026-06-16,PO0016,SUP2,SKU016,B0046,83,83,YES,ACCEPTED
R0017,2026-06-16,PO0017,SUP2,SKU017,B0047,92,92,YES,ACCEPTED
R0018,2026-06-16,PO0018,SUP2,SKU018,B0048,81,79,YES,ACCEPTED
R0019,2026-06-16,PO0019,SUP2,SKU019,B0049,99,99,YES,ACCEPTED
R0020,2026-06-16,PO0020,SUP2,SKU020,B0050,68,68,YES,ACCEPTED
R0021,2026-06-16,PO0021,SUP3,SKU021,B0051,87,87,YES,ACCEPTED
R0022,2026-06-16,PO0022,SUP3,SKU022,B0052,84,84,YES,ACCEPTED
R0023,2026-06-16,PO0023,SUP3,SKU023,B0053,78,78,YES,ACCEPTED
R0024,2026-06-16,PO0024,SUP3,SKU024,B0054,74,74,YES,ACCEPTED
R0025,2026-06-16,PO0025,SUP3,SKU025,B0055,67,67,YES,ACCEPTED
R0026,2026-06-16,PO0026,SUP3,SKU026,B0056,77,77,YES,ACCEPTED
R0027,2026-06-16,PO0027,SUP3,SKU027,B0057,73,73,YES,ACCEPTED
R0028,2026-06-16,PO0028,SUP3,SKU028,B0058,71,71,YES,ACCEPTED
R0029,2026-06-23,PO0029,SUP1,SKU001,B0059,96,96,YES,ACCEPTED
R0030,2026-06-23,PO0030,SUP1,SKU002,B0060,83,83,YES,ACCEPTED
R0031,2026-06-23,PO0031,SUP1,SKU003,B0061,85,85,YES,ACCEPTED
R0032,2026-06-23,PO0032,SUP1,SKU004,B0062,99,99,YES,ACCEPTED
R0033,2026-06-23,PO0033,SUP1,SKU005,B0063,71,71,YES,ACCEPTED
R0034,2026-06-23,PO0034,SUP1,SKU006,B0064,71,71,YES,ACCEPTED
R0035,2026-06-23,PO0035,SUP1,SKU009,B0065,73,71,YES,ACCEPTED
R0036,2026-06-23,PO0036,SUP2,SKU011,B0066,98,98,YES,ACCEPTED
R0037,2026-06-23,PO0037,SUP2,SKU012,B0067,80,80,YES,ACCEPTED
R0038,2026-06-23,PO0038,SUP2,SKU014,B0068,69,69,YES,ACCEPTED
R0039,2026-06-23,PO0039,SUP2,SKU015,B0069,75,75,YES,ACCEPTED
R0040,2026-06-23,PO0040,SUP2,SKU016,B0070,89,89,YES,ACCEPTED
R0041,2026-06-23,PO0041,SUP2,SKU019,B0071,69,69,YES,ACCEPTED
R0042,2026-06-23,PO0042,SUP2,SKU020,B0072,76,76,YES,ACCEPTED
R0043,2026-06-23,PO0043,SUP3,SKU021,B0073,64,64,YES,ACCEPTED
R0044,2026-06-23,PO0044,SUP3,SKU022,B0074,72,72,YES,ACCEPTED
R0045,2026-06-23,PO0045,SUP3,SKU023,B0075,84,84,YES,ACCEPTED
R0046,2026-06-23,PO0046,SUP3,SKU024,B0076,77,77,YES,ACCEPTED
R0047,2026-06-23,PO0047,SUP3,SKU025,B0077,67,67,YES,ACCEPTED
R0048,2026-06-23,PO0048,SUP3,SKU027,B0078,67,67,YES,ACCEPTED
R0049,2026-06-23,PO0049,SUP3,SKU028,B0079,91,91,YES,ACCEPTED
R0050,2026-06-30,PO0050,SUP1,SKU001,B0080,76,76,YES,ACCEPTED
R0051,2026-06-30,PO0051,SUP1,SKU002,B0081,65,65,YES,ACCEPTED
R0052,2026-06-30,PO0052,SUP1,SKU003,B0082,88,86,YES,ACCEPTED
R0053,2026-06-30,PO0053,SUP1,SKU004,B0083,75,75,YES,ACCEPTED
R0054,2026-06-30,PO0054,SUP1,SKU005,B0084,85,85,YES,ACCEPTED
R0055,2026-06-30,PO0055,SUP1,SKU006,B0085,90,90,YES,ACCEPTED
R0056,2026-06-30,PO0056,SUP1,SKU008,B0086,92,92,YES,ACCEPTED
R0057,2026-06-30,PO0057,SUP2,SKU013,B0087,63,63,YES,ACCEPTED
R0058,2026-06-30,PO0058,SUP2,SKU017,B0088,95,95,YES,ACCEPTED
R0059,2026-06-30,PO0059,SUP2,SKU018,B0089,76,76,YES,ACCEPTED
R0060,2026-06-30,PO0060,SUP2,SKU020,B0090,96,96,YES,ACCEPTED
R0061,2026-06-30,PO0061,SUP3,SKU025,B0091,100,100,YES,ACCEPTED
R0062,2026-06-30,PO0062,SUP3,SKU026,B0092,77,77,YES,ACCEPTED
R0063,2026-07-07,PO0063,SUP1,SKU001,B0093,76,76,YES,ACCEPTED
R0064,2026-07-07,PO0064,SUP1,SKU002,B0094,86,86,YES,ACCEPTED
R0065,2026-07-07,PO0065,SUP1,SKU003,B0095,62,62,YES,ACCEPTED
R0066,2026-07-07,PO0066,SUP1,SKU004,B0096,87,87,YES,ACCEPTED
R0067,2026-07-07,PO0067,SUP1,SKU005,B0097,72,72,YES,ACCEPTED
R0068,2026-07-07,PO0068,SUP1,SKU006,B0098,77,77,NO,PENDING
R0069,2026-07-07,PO0069,SUP1,SKU007,B0099,66,64,YES,ACCEPTED
R0070,2026-07-07,PO0070,SUP1,SKU009,B0100,68,68,YES,ACCEPTED
R0071,2026-07-07,PO0071,SUP2,SKU011,B0101,63,63,YES,ACCEPTED
R0072,2026-07-07,PO0072,SUP2,SKU012,B0102,70,70,YES,ACCEPTED
