count_line_id,count_time,sku,batch_id,location_id,book_qty_snapshot,first_count_qty,recount_qty,investigation_status
C0001,2026-07-08 20:00:00,SKU007,B0007,L007,56,54,54,OPEN
C0002,2026-07-08 20:00:00,SKU009,B0009,L009,48,48,48,MATCHED
C0003,2026-07-08 20:00:00,SKU010,B0010,L010,80,80,80,MATCHED
C0004,2026-07-08 20:00:00,SKU012,B0012,L012,8,8,8,MATCHED
C0005,2026-07-08 20:00:00,SKU013,B0013,L013,66,66,66,MATCHED
C0006,2026-07-08 20:00:00,SKU015,B0015,L015,35,35,35,MATCHED
C0007,2026-07-08 20:00:00,SKU018,B0018,L018,56,56,56,MATCHED
C0008,2026-07-08 20:00:00,SKU029,B0029,L029,239,239,239,MATCHED
C0009,2026-07-08 20:00:00,SKU030,B0030,L030,240,240,240,MATCHED
C0010,2026-07-08 20:00:00,SKU008,B0038,L008,50,50,50,MATCHED
C0011,2026-07-08 20:00:00,SKU009,B0039,L009,21,21,21,MATCHED
C0012,2026-07-08 20:00:00,SKU010,B0040,L010,86,84,84,OPEN
C0013,2026-07-08 20:00:00,SKU012,B0042,L012,60,60,60,MATCHED
C0014,2026-07-08 20:00:00,SKU014,B0044,L014,35,35,35,MATCHED
C0015,2026-07-08 20:00:00,SKU016,B0046,L016,20,20,20,MATCHED
C0016,2026-07-08 20:00:00,SKU017,B0047,L017,67,67,67,MATCHED
C0017,2026-07-08 20:00:00,SKU018,B0048,L018,24,24,24,MATCHED
C0018,2026-07-08 20:00:00,SKU019,B0049,L019,99,100,100,OPEN
C0019,2026-07-08 20:00:00,SKU020,B0050,L020,14,14,14,MATCHED
C0020,2026-07-08 20:00:00,SKU021,B0051,L021,11,11,11,MATCHED
C0021,2026-07-08 20:00:00,SKU023,B0053,L023,39,39,39,MATCHED
C0022,2026-07-08 20:00:00,SKU024,B0054,L024,17,17,17,MATCHED
C0023,2026-07-08 20:00:00,SKU026,B0056,L026,55,53,53,OPEN
C0024,2026-07-08 20:00:00,SKU027,B0057,L027,11,11,11,MATCHED
C0025,2026-07-08 20:00:00,SKU028,B0058,L028,19,19,19,MATCHED
C0026,2026-07-08 20:00:00,SKU004,B0062,L004,25,25,25,MATCHED
C0027,2026-07-08 20:00:00,SKU011,B0066,L011,86,86,86,MATCHED
C0028,2026-07-08 20:00:00,SKU012,B0067,L012,22,22,22,MATCHED
C0029,2026-07-08 20:00:00,SKU014,B0068,L014,69,69,69,MATCHED
C0030,2026-07-08 20:00:00,SKU015,B0069,L015,75,75,75,MATCHED
C0031,2026-07-08 20:00:00,SKU016,B0070,L016,89,89,89,MATCHED
C0032,2026-07-08 20:00:00,SKU019,B0071,L019,16,16,16,MATCHED
C0033,2026-07-08 20:00:00,SKU020,B0072,L020,76,76,76,MATCHED
C0034,2026-07-08 20:00:00,SKU021,B0073,L021,64,62,62,OPEN
C0035,2026-07-08 20:00:00,SKU022,B0074,L022,67,68,68,OPEN
C0036,2026-07-08 20:00:00,SKU023,B0075,L023,84,84,84,MATCHED
C0037,2026-07-08 20:00:00,SKU024,B0076,L024,77,77,77,MATCHED
C0038,2026-07-08 20:00:00,SKU025,B0077,L025,48,48,48,MATCHED
C0039,2026-07-08 20:00:00,SKU027,B0078,L027,67,67,67,MATCHED
C0040,2026-07-08 20:00:00,SKU028,B0079,L028,91,91,91,MATCHED
C0041,2026-07-08 20:00:00,SKU001,B0080,L001,31,31,31,MATCHED
C0042,2026-07-08 20:00:00,SKU002,B0081,L002,35,35,35,MATCHED
C0043,2026-07-08 20:00:00,SKU003,B0082,L003,3,3,3,MATCHED
C0044,2026-07-08 20:00:00,SKU005,B0084,L005,57,57,57,MATCHED
C0045,2026-07-08 20:00:00,SKU008,B0086,L008,92,90,90,OPEN
C0046,2026-07-08 20:00:00,SKU013,B0087,L013,43,43,43,MATCHED
C0047,2026-07-08 20:00:00,SKU017,B0088,L017,74,74,74,MATCHED
C0048,2026-07-08 20:00:00,SKU018,B0089,L018,43,43,43,MATCHED
C0049,2026-07-08 20:00:00,SKU020,B0090,L020,55,55,55,MATCHED
C0050,2026-07-08 20:00:00,SKU025,B0091,L025,100,100,100,MATCHED
C0051,2026-07-08 20:00:00,SKU026,B0092,L026,77,77,77,MATCHED
C0052,2026-07-08 20:00:00,SKU001,B0093,L001,52,53,53,OPEN
C0053,2026-07-08 20:00:00,SKU002,B0094,L002,75,75,75,MATCHED
C0054,2026-07-08 20:00:00,SKU003,B0095,L003,47,47,47,MATCHED
C0055,2026-07-08 20:00:00,SKU004,B0096,L004,81,81,81,MATCHED
C0056,2026-07-08 20:00:00,SKU005,B0097,L005,72,70,70,OPEN
C0057,2026-07-08 20:00:00,SKU006,B0098,L006,77,77,77,MATCHED
C0058,2026-07-08 20:00:00,SKU007,B0099,L007,33,33,33,MATCHED
C0059,2026-07-08 20:00:00,SKU009,B0100,L009,68,68,68,MATCHED
C0060,2026-07-08 20:00:00,SKU011,B0101,L011,63,63,63,MATCHED
C0061,2026-07-08 20:00:00,SKU012,B0102,L012,70,70,70,MATCHED
C0062,2026-07-08 20:00:00,SKU014,B0103,L014,69,69,69,MATCHED
C0063,2026-07-08 20:00:00,SKU016,B0104,L016,52,52,52,MATCHED
C0064,2026-07-08 20:00:00,SKU021,B0105,L021,90,90,90,MATCHED
C0065,2026-07-08 20:00:00,SKU022,B0106,L022,63,63,63,MATCHED
C0066,2026-07-08 20:00:00,SKU024,B0107,L024,92,92,92,MATCHED
C0067,2026-07-08 20:00:00,SKU027,B0108,L027,62,60,60,OPEN
C0068,2026-08-07 20:00:00,SKU009,B0009,L009,48,48,48,MATCHED
C0069,2026-08-07 20:00:00,SKU010,B0010,L010,80,81,81,OPEN
C0070,2026-08-07 20:00:00,SKU018,B0018,L018,25,25,25,MATCHED
C0071,2026-08-07 20:00:00,SKU029,B0029,L029,232,232,232,MATCHED
C0072,2026-08-07 20:00:00,SKU030,B0030,L030,240,240,240,MATCHED
C0073,2026-08-07 20:00:00,SKU010,B0040,L010,86,86,86,MATCHED
C0074,2026-08-07 20:00:00,SKU012,B0042,L012,60,60,60,MATCHED
C0075,2026-08-07 20:00:00,SKU016,B0046,L016,17,17,17,MATCHED
C0076,2026-08-07 20:00:00,SKU017,B0047,L017,8,8,8,MATCHED
C0077,2026-08-07 20:00:00,SKU020,B0050,L020,14,14,14,MATCHED
C0078,2026-08-07 20:00:00,SKU011,B0066,L011,81,79,79,OPEN
C0079,2026-08-07 20:00:00,SKU014,B0068,L014,69,69,69,MATCHED
C0080,2026-08-07 20:00:00,SKU015,B0069,L015,6,6,6,MATCHED
C0081,2026-08-07 20:00:00,SKU016,B0070,L016,89,89,89,MATCHED
C0082,2026-08-07 20:00:00,SKU020,B0072,L020,76,76,76,MATCHED
C0083,2026-08-07 20:00:00,SKU002,B0081,L002,35,35,35,MATCHED
C0084,2026-08-07 20:00:00,SKU008,B0086,L008,92,92,92,MATCHED
C0085,2026-08-07 20:00:00,SKU020,B0090,L020,2,2,2,MATCHED
C0086,2026-08-07 20:00:00,SKU025,B0091,L025,32,33,33,OPEN
C0087,2026-08-07 20:00:00,SKU026,B0092,L026,30,30,30,MATCHED
C0088,2026-08-07 20:00:00,SKU005,B0097,L005,57,57,57,MATCHED
C0089,2026-08-07 20:00:00,SKU006,B0098,L006,77,75,75,OPEN
C0090,2026-08-07 20:00:00,SKU009,B0100,L009,10,10,10,MATCHED
C0091,2026-08-07 20:00:00,SKU014,B0103,L014,22,22,22,MATCHED
C0092,2026-08-07 20:00:00,SKU021,B0105,L021,35,35,35,MATCHED
C0093,2026-08-07 20:00:00,SKU024,B0107,L024,20,20,20,MATCHED
C0094,2026-08-07 20:00:00,SKU027,B0108,L027,4,4,4,MATCHED
C0095,2026-08-07 20:00:00,SKU005,B0112,L005,14,14,14,MATCHED
C0096,2026-08-07 20:00:00,SKU007,B0114,L007,64,64,64,MATCHED
C0097,2026-08-07 20:00:00,SKU013,B0115,L013,74,74,74,MATCHED
C0098,2026-08-07 20:00:00,SKU018,B0117,L018,76,76,76,MATCHED
C0099,2026-08-07 20:00:00,SKU019,B0118,L019,23,23,23,MATCHED
C0100,2026-08-07 20:00:00,SKU022,B0119,L022,67,65,65,OPEN
C0101,2026-08-07 20:00:00,SKU023,B0120,L023,41,41,41,MATCHED
C0102,2026-08-07 20:00:00,SKU028,B0121,L028,44,44,44,MATCHED
C0103,2026-08-07 20:00:00,SKU002,B0122,L002,42,43,43,OPEN
C0104,2026-08-07 20:00:00,SKU007,B0127,L007,69,69,69,MATCHED
C0105,2026-08-07 20:00:00,SKU008,B0128,L008,9,9,9,MATCHED
C0106,2026-08-07 20:00:00,SKU016,B0131,L016,6,6,6,MATCHED
C0107,2026-08-07 20:00:00,SKU017,B0132,L017,98,98,98,MATCHED
C0108,2026-08-07 20:00:00,SKU020,B0133,L020,10,10,10,MATCHED
C0109,2026-08-07 20:00:00,SKU024,B0134,L024,84,84,84,MATCHED
C0110,2026-08-07 20:00:00,SKU025,B0135,L025,62,62,62,MATCHED
C0111,2026-08-07 20:00:00,SKU026,B0136,L026,93,91,91,OPEN
C0112,2026-08-07 20:00:00,SKU027,B0137,L027,70,70,70,MATCHED
C0113,2026-08-07 20:00:00,SKU005,B0141,L005,7,7,7,MATCHED
C0114,2026-08-07 20:00:00,SKU012,B0143,L012,68,68,68,MATCHED
C0115,2026-08-07 20:00:00,SKU013,B0144,L013,46,46,46,MATCHED
C0116,2026-08-07 20:00:00,SKU014,B0145,L014,34,34,34,MATCHED
C0117,2026-08-07 20:00:00,SKU015,B0146,L015,63,63,63,MATCHED
C0118,2026-08-07 20:00:00,SKU019,B0147,L019,85,85,85,MATCHED
C0119,2026-08-07 20:00:00,SKU021,B0148,L021,60,60,60,MATCHED
C0120,2026-08-07 20:00:00,SKU023,B0149,L023,81,82,82,OPEN
C0121,2026-08-07 20:00:00,SKU027,B0150,L027,74,74,74,MATCHED
C0122,2026-08-07 20:00:00,SKU028,B0151,L028,86,84,84,OPEN
C0123,2026-08-07 20:00:00,SKU001,B0152,L001,44,44,44,MATCHED
C0124,2026-08-07 20:00:00,SKU002,B0153,L002,71,71,71,MATCHED
C0125,2026-08-07 20:00:00,SKU003,B0154,L003,12,12,12,MATCHED
C0126,2026-08-07 20:00:00,SKU004,B0155,L004,60,60,60,MATCHED
C0127,2026-08-07 20:00:00,SKU005,B0156,L005,36,36,36,MATCHED
C0128,2026-08-07 20:00:00,SKU006,B0157,L006,55,55,55,MATCHED
C0129,2026-08-07 20:00:00,SKU009,B0158,L009,78,78,78,MATCHED
C0130,2026-08-07 20:00:00,SKU011,B0159,L011,85,85,85,MATCHED
C0131,2026-08-07 20:00:00,SKU015,B0160,L015,100,100,100,MATCHED
C0132,2026-08-07 20:00:00,SKU021,B0161,L021,97,97,97,MATCHED
C0133,2026-08-07 20:00:00,SKU022,B0162,L022,68,66,66,OPEN
C0134,2026-09-06 20:00:00,SKU010,B0010,L010,80,80,80,MATCHED
C0135,2026-09-06 20:00:00,SKU029,B0029,L029,212,212,212,MATCHED
C0136,2026-09-06 20:00:00,SKU030,B0030,L030,240,240,240,MATCHED
C0137,2026-09-06 20:00:00,SKU010,B0040,L010,86,87,87,OPEN
C0138,2026-09-06 20:00:00,SKU012,B0042,L012,60,60,60,MATCHED
C0139,2026-09-06 20:00:00,SKU020,B0050,L020,13,13,13,MATCHED
C0140,2026-09-06 20:00:00,SKU014,B0068,L014,69,69,69,MATCHED
C0141,2026-09-06 20:00:00,SKU016,B0070,L016,80,80,80,MATCHED
C0142,2026-09-06 20:00:00,SKU020,B0072,L020,76,76,76,MATCHED
C0143,2026-09-06 20:00:00,SKU002,B0081,L002,35,35,35,MATCHED
C0144,2026-09-06 20:00:00,SKU005,B0097,L005,8,6,6,OPEN
C0145,2026-09-06 20:00:00,SKU006,B0098,L006,77,77,77,MATCHED
C0146,2026-09-06 20:00:00,SKU007,B0114,L007,23,23,23,MATCHED
C0147,2026-09-06 20:00:00,SKU024,B0134,L024,36,36,36,MATCHED
C0148,2026-09-06 20:00:00,SKU012,B0143,L012,14,14,14,MATCHED
C0149,2026-09-06 20:00:00,SKU019,B0147,L019,40,40,40,MATCHED
C0150,2026-09-06 20:00:00,SKU006,B0157,L006,16,16,16,MATCHED
C0151,2026-09-06 20:00:00,SKU009,B0158,L009,73,73,73,MATCHED
C0152,2026-09-06 20:00:00,SKU011,B0159,L011,28,28,28,MATCHED
C0153,2026-09-06 20:00:00,SKU015,B0160,L015,84,84,84,MATCHED
C0154,2026-09-06 20:00:00,SKU021,B0161,L021,35,36,36,OPEN
C0155,2026-09-06 20:00:00,SKU002,B0164,L002,12,10,10,OPEN
C0156,2026-09-06 20:00:00,SKU005,B0167,L005,80,80,80,MATCHED
C0157,2026-09-06 20:00:00,SKU006,B0168,L006,26,26,26,MATCHED
C0158,2026-09-06 20:00:00,SKU008,B0169,L008,26,26,26,MATCHED
C0159,2026-09-06 20:00:00,SKU010,B0170,L010,71,71,71,MATCHED
C0160,2026-09-06 20:00:00,SKU013,B0172,L013,69,69,69,MATCHED
C0161,2026-09-06 20:00:00,SKU017,B0174,L017,68,68,68,MATCHED
C0162,2026-09-06 20:00:00,SKU018,B0175,L018,64,64,64,MATCHED
C0163,2026-09-06 20:00:00,SKU023,B0178,L023,39,39,39,MATCHED
C0164,2026-09-06 20:00:00,SKU024,B0179,L024,81,81,81,MATCHED
C0165,2026-09-06 20:00:00,SKU026,B0181,L026,38,38,38,MATCHED
C0166,2026-09-06 20:00:00,SKU007,B0188,L007,71,69,69,OPEN
C0167,2026-09-06 20:00:00,SKU022,B0191,L022,59,59,59,MATCHED
C0168,2026-09-06 20:00:00,SKU027,B0192,L027,77,77,77,MATCHED
C0169,2026-09-06 20:00:00,SKU028,B0193,L028,56,56,56,MATCHED
C0170,2026-09-06 20:00:00,SKU001,B0194,L001,49,49,49,MATCHED
C0171,2026-09-06 20:00:00,SKU003,B0195,L003,18,19,19,OPEN
